seed,global_steps_per_temperature,MCS_per_global_steps,number_of_temperatures,schedule,num_runs,best_energy,success_rate,average_time,tts_p0.99
502033,5,15,49,logT,10,-1.69213,1,1999.32998307,1999.32998307
3210623,5,15,50,logT,10,-1.72202,0.9,2036.90183961,4073.80367923
4063355,5,15,56,logT,10,-1.70716,1,2283.9463738,2283.9463738
5105474,5,15,45,logT,10,-1.68596,0.9,1833.52663348,3667.05326695
7711527,5,15,43,logT,10,-1.7123,1,1756.95519972,1756.95519972
9551411,5,15,53,logT,10,-1.69631,0.9,2161.8080441,4323.6160882
9569658,5,15,45,logT,10,-1.70125,0.9,1839.25070546,3678.50141091
11086240,5,15,72,logT,10,-1.68613,1,2939.4417671,2939.4417671
14949383,5,15,45,logT,10,-1.67764,1,1832.12010691,1832.12010691
16095495,5,15,50,logT,10,-1.70227,0.9,2039.51484635,4079.0296927
