# model=sk N=50 meanJ=0 seed=568024288 distribution=gaussian field=0 num_fields=50 num_couplings=1225
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 1 0.1712084667014071
0 2 -0.11843076133300853
0 3 -0.16600045300343252
0 4 -0.16082703089621325
0 5 -0.03364657804178843
0 6 0.086090933441122161
0 7 -0.21921572506011636
0 8 -0.041731206617753432
0 9 0.0021152943693262161
0 10 -0.049369959212293299
0 11 -0.054770073456702914
0 12 -0.075812090616999075
0 13 0.078114507247547343
0 14 -0.0258897955846264
0 15 0.16380244410946962
0 16 -0.074303743413196288
0 17 0.029669522428462419
0 18 -0.24212293617859418
0 19 -0.17789686584009134
0 20 0.11132881202247077
0 21 0.085354145473378273
0 22 -0.19341530059484868
0 23 0.12508995712746895
0 24 -0.022557819202781895
0 25 -0.093593103922298373
0 26 -0.038002616994252551
0 27 0.023506585061533837
0 28 -0.10931722132845727
0 29 -0.12025128824386624
0 30 0.0094584187850530813
0 31 -0.0015403442379091274
0 32 0.12325346355931979
0 33 -0.15123571283991583
0 34 -0.063572101520251875
0 35 0.0072759919536077569
0 36 0.1884860458856743
0 37 -0.25389573406426985
0 38 0.081987627983581224
0 39 -0.24019894578090042
0 40 0.19315478193273983
0 41 -0.17765889947720159
0 42 0.064386223584449731
0 43 -0.11634388271217309
0 44 -0.090096751670347419
0 45 0.058298379073665571
0 46 0.083068861752504761
0 47 -0.24405281291045014
0 48 0.074571236337316993
0 49 0.011698533129385815
1 2 -0.046521201950657252
1 3 -0.087598580954862879
1 4 -0.13859832059317567
1 5 0.11582789595652059
1 6 -0.17788902028866921
1 7 0.091034949642988083
1 8 0.096370045483599592
1 9 0.16303812211642985
1 10 0.052030053273130143
1 11 -0.29255095464483655
1 12 -0.31016770387765386
1 13 -0.21707541939882441
1 14 0.13163258255399385
1 15 -0.069739710959853762
1 16 -0.10274585213590261
1 17 0.17150882107799639
1 18 -0.11498481665874849
1 19 0.25162861624891819
1 20 -0.089909181674895713
1 21 -0.1066319647831367
1 22 0.14619408543335563
1 23 0.052339435358666205
1 24 0.1154533310444037
1 25 0.046455380916865185
1 26 -0.032885630380850114
1 27 0.016417336961856873
1 28 -0.14342265590556849
1 29 -0.054756035544719667
1 30 -0.07698412245947224
1 31 -0.058686681137854864
1 32 -0.1193974767030466
1 33 0.0041142469890975671
1 34 0.06125419743904871
1 35 0.033792822389805348
1 36 -0.037038033892938083
1 37 0.033225652080197336
1 38 -0.11156743859105145
