# model=sk N=50 meanJ=0 seed=329670 distribution=gaussian field=0 num_fields=50 num_couplings=1225
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 1 -0.063007105560854093
0 2 0.086078236247597834
0 3 -0.046718895958283616
0 4 -0.17903114400339157
0 5 0.010243801183532127
0 6 -0.015795411814435317
0 7 -0.020819023080707207
0 8 0.12547842137463405
0 9 -0.040668340862275207
0 10 0.33081417167207378
0 11 -0.12657055667595199
0 12 -0.015776425965354945
0 13 0.034912622993397133
0 14 -0.11498485902518868
0 15 -0.058140448447550945
0 16 -0.00064774940129008372
0 17 0.24213792395210942
0 18 -0.10977179936963444
0 19 0.28035200181086428
0 20 0.16060047844665437
0 21 -0.21996328377141378
0 22 -0.022412609532766966
0 23 0.074449469205364438
0 24 -0.20766675334507356
0 25 -0.27852301741368723
0 26 -0.0087580091527023826
0 27 0.17333305325035211
0 28 -0.28725996952402993
0 29 0.12234308152346308
0 30 -0.080853548334219608
0 31 -0.089260273268026186
0 32 -0.12699644592939016
0 33 0.059943526137350822
0 34 0.044300835995561512
0 35 -0.15536223704870972
0 36 -0.10586325236925938
0 37 0.18855275950238573
0 38 -0.17365146237116455
0 39 -0.39172356595160074
0 40 0.17469645935227979
0 41 -0.11648460303665686
0 42 0.11300858495770005
0 43 -0.11713593943405388
0 44 -0.0058604435793609159
0 45 -0.14598019546731927
0 46 0.095586334545854607
0 47 0.26516269847224017
0 48 -0.23422187519376922
0 49 -0.01651970444743333
1 2 -0.14948967074921687
1 3 0.066030778624720801
1 4 0.32944275205226853
1 5 -0.085864267692224008
1 6 -0.087530181805697299
1 7 0.074900967777439528
1 8 -0.045808248938294861
1 9 0.068526715378717684
1 10 0.0014846203040293794
1 11 0.094816196498678243
1 12 0.034911690134738028
1 13 -0.06687969530036228
1 14 -0.093519752920196222
1 15 -0.17996178165368015
1 16 -0.071357383845475547
1 17 -0.21701107795782365
1 18 0.12888375701127067
1 19 -0.12849507458353338
1 20 0.28559566274380643
1 21 0.045194912644341945
1 22 0.032683939862480658
1 23 -0.080546716790911119
1 24 -0.062481173106964279
1 25 0.3379952828240495
1 26 0.15078476341875571
1 27 -0.11150159165087851
1 28 0.031090284619435603
1 29 -0.10723994565817947
1 30 -0.13747018607682865
1 31 0.029879214396621629
1 32 0.252173972147894
1 33 -0.02856468281789093
1 34 -0.30532199060446946
1 35 0.054422520003424762
1 36 0.24749427980956865
1 37 0.033584188224409242
1 38 0.17132959547462903
1 39 0.11958009987913223
1 40 -0.005368381291832286
1 41 -0.024815519492208445
1 42 -0.062823107684956941
1 43 -0.16117406411386814
1 44 0.025114875166538878
1 45 -0.13834056584571314
1 46 0.0053392743127173578
1 47 -0.24146678521133857
1 48 -0.055304987479454615
1 49 0.084871395094863078
2 3 -0.012037761107447149
2 4 0.21694956157051459
2 5 -0.023830577034977152
2 6 -0.16068103472091264
2 7 -0.14070642652477247
2 8 -0.11500390817416282
2 9 -0.019034816003955981
2 10 0.075108041330242112
2 11 0.12103644600142169
2 12 0.13814703929764363
2 13 0.09323553046687022
2 14 -0.056710588198548288
2 15 -0.082416825142401909
2 16 -0.1609158578445225
2 17 -0.22979139286476313
