# model=rrg N=50 meanJ=0 seed=4051734 distribution=gaussian field=0 num_fields=50 num_couplings=75 graph=random_regular degree=3 graph_seed=4051734
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 12 -0.13821
0 21 1.13063
0 41 -0.57985
1 35 0.22272
1 36 0.3413
1 42 -0.68161
2 16 0.96947
2 19 -1.68027
2 23 -0.2347
3 31 1.71558
3 37 -0.40816
3 43 -1.08942
4 14 -2.11662
4 16 -2.05686
4 48 1.11374
5 14 -0.304
5 27 -1.05858
5 35 0.07336
6 10 -0.56199
6 11 -0.26021
6 33 0.33558
7 16 0.86013
7 28 -0.51281
7 29 1.06865
8 10 -2.02055
8 12 -1.14961
8 46 0.03735
9 20 1.48891
9 30 -0.1989
9 47 -0.14116
10 43 0.68623
11 13 2.5042
11 30 -1.64706
12 45 -0.78094
13 21 -1.25056
13 46 -0.05118
14 17 0.12361
15 22 -1.03497
15 26 0.46133
15 37 1.35621
17 18 -0.45468
17 32 -1.60155
18 34 -1.18801
18 38 0.07365
19 36 0.455
19 43 1.25471
20 23 -1.39681
20 32 -0.14181
21 30 0.11592
22 47 0.70276
22 49 -0.85377
23 33 0.56304
24 33 -0.13507
24 37 0.51191
24 49 0.01013
25 26 -2.839
25 36 1.45671
25 48 0.34351
26 40 -0.93227
27 29 1.89109
27 40 0.09811
28 39 2.84748
28 44 1.15063
29 31 0.40169
31 45 0.2319
32 48 -0.68405
34 38 -0.84008
34 41 1.43736
35 44 -0.95108
38 39 -0.82082
39 45 -0.52539
40 42 -1.49196
41 42 -0.3446
44 46 0.13056
47 49 -0.50453
