# model=rrg N=50 meanJ=0 seed=2844268 distribution=gaussian field=0 num_fields=50 num_couplings=75 graph=random_regular degree=3 graph_seed=2844268
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 5 1.31552
0 35 0.23649
0 40 -2.17203
1 4 -0.05154
1 34 -0.02471
1 47 -1.23856
2 11 0.72579
2 28 -0.85177
2 39 -0.00406
3 13 -1.30792
3 22 -0.89978
3 28 -0.66918
4 12 -1.29972
4 39 0.2309
5 19 0.30355
5 25 -1.12778
6 22 0.09907
6 26 -0.67148
6 43 1.191
7 16 -0.33037
7 17 -0.36404
7 46 -0.07522
8 32 -0.96588
8 36 -0.24189
8 48 -1.36833
9 21 -1.84591
9 34 1.31182
9 44 0.08985
10 13 0.23166
10 23 0.6178
10 24 -0.23085
11 18 0.08796
11 37 1.1182
12 16 -0.22664
12 48 -0.48108
13 35 0.56572
14 15 0.66545
14 20 0.52624
14 23 0.48279
15 32 -2.44176
15 44 0.82428
16 46 1.11824
17 31 1.68898
17 42 0.01617
18 25 0.81919
18 37 -2.10365
19 29 0.6034
19 45 0.31528
20 33 -1.19804
20 42 -0.91415
21 24 0.93031
21 43 -0.93351
22 39 -0.05931
23 42 -1.10874
24 45 -0.21214
25 30 -1.75861
26 40 1.04145
26 49 -1.02371
27 33 0.72042
27 38 -0.49809
27 41 0.98615
28 44 1.19566
29 36 1.49173
29 38 -0.19276
30 37 -1.54686
30 48 -1.05638
31 36 0.06376
31 40 -0.43837
32 47 0.77926
33 45 -0.78756
34 43 -0.00507
35 46 -0.2476
38 41 -1.49928
41 49 -1.86545
47 49 0.7302
