# model=rrg N=50 meanJ=0 seed=4051733 distribution=gaussian field=0 num_fields=50 num_couplings=75 graph=random_regular degree=3 graph_seed=4051733
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 4 -1.14843
0 9 -0.70758
0 12 0.26298
1 14 -0.49489
1 39 -0.0178
1 47 0.9471
2 6 -0.49845
2 12 0.2449
2 49 -0.56895
3 15 1.34116
3 21 0.02775
3 23 0.71207
4 6 -2.21553
4 24 1.06294
5 10 1.5446
5 19 0.83854
5 36 -0.71831
6 44 -0.68089
7 20 0.09271
7 32 0.738
7 41 2.11396
8 21 -1.87868
8 38 2.75154
8 45 1.25432
9 42 -0.47219
9 48 2.32107
10 20 -0.53892
10 43 1.16971
11 21 0.12516
11 35 -1.0043
11 49 -1.63818
12 36 -1.75608
13 30 0.92755
13 33 -0.9819
13 34 0.19832
14 18 -0.5538
14 43 0.67329
15 31 0.25274
15 36 -0.14832
16 24 1.08555
16 41 0.26017
16 44 0.00734
17 22 -0.98244
17 37 0.80827
17 38 -0.75899
18 24 0.25578
18 28 0.93522
19 32 2.12811
19 34 -1.20858
20 30 0.44875
22 27 -0.36735
22 45 1.31406
23 26 0.26179
23 28 -0.13612
25 29 -0.30495
25 42 -0.54029
25 48 0.03283
26 27 -0.21272
26 43 -0.98106
27 33 0.89158
28 44 -0.91377
29 34 0.84499
29 47 -0.91301
30 40 1.06617
31 33 0.14437
31 39 -1.55808
32 46 1.4994
35 37 0.04776
35 45 0.12715
37 41 0.36145
38 42 0.52337
39 47 0.05707
40 46 -0.23535
40 48 -0.87495
46 49 -0.54355
