# model=rrg N=50 meanJ=0 seed=4051735 distribution=gaussian field=0 num_fields=50 num_couplings=75 graph=random_regular degree=3 graph_seed=4051735
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 14 -1.14659
0 36 2.00126
0 41 0.52085
1 26 0.99459
1 28 0.16212
1 40 0.19923
2 21 1.02576
2 22 1.28135
2 25 -1.18275
3 8 -0.24697
3 16 -0.3946
3 38 0.88303
4 27 1.56298
4 30 0.70266
4 45 1.31387
5 14 -0.59867
5 16 -0.3838
5 19 0.63351
6 10 -0.12632
6 18 -0.06301
6 39 -0.53982
7 19 1.31467
7 23 0.09182
7 43 -1.46924
8 22 -0.34403
8 27 1.16308
9 28 -0.37791
9 41 -0.70344
9 46 1.68729
10 12 1.35024
10 42 1.6805
11 29 -1.15187
11 45 -0.1145
11 49 -1.22851
12 39 1.35664
12 45 1.22603
13 32 -1.23129
13 33 -0.78212
13 35 -0.29519
14 28 -0.78899
15 17 1.00894
15 18 0.00091
15 47 0.03002
16 32 0.42582
17 38 1.49036
17 49 0.54059
18 47 1.91322
19 25 -1.97196
20 34 0.68089
20 38 0.31212
20 46 0.36401
21 22 0.57406
21 32 0.47381
23 44 0.91074
23 48 0.36525
24 27 -0.22768
24 29 -1.75436
24 48 -1.25928
25 40 -0.89946
26 44 0.89934
26 49 0.22212
29 35 -1.12626
30 34 -2.19329
30 36 -0.80938
31 33 -0.67137
31 35 -1.17975
31 43 0.97594
33 47 -0.24614
34 42 0.8823
36 39 0.09801
37 40 0.49246
37 43 -1.93551
37 46 -0.44092
41 42 -0.84125
44 48 0.11335
