# model=rrg N=50 meanJ=0 seed=225125920 distribution=gaussian field=0 num_fields=50 num_couplings=75 graph=random_regular degree=3 graph_seed=225125920
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 2 -0.08518
0 18 -0.76299
0 33 0.79452
1 9 -0.08653
1 26 3.18791
1 35 -0.71631
2 14 1.52786
2 34 -0.05319
3 10 -0.28932
3 16 0.94525
3 28 -1.49791
4 7 0.92641
4 26 -0.43089
4 30 -0.00758
5 27 -1.20846
5 30 0.22842
5 49 1.49992
6 18 -0.23782
6 33 0.74788
6 43 1.12967
7 9 0.02688
7 12 0.46584
8 17 3.41592
8 27 0.88626
8 31 -0.4112
9 31 0.80722
10 17 -1.57135
10 37 -0.57765
11 13 0.82685
11 22 -0.12391
11 24 -0.95191
12 40 -1.53993
12 48 -0.17127
13 36 0.10654
13 46 0.55657
14 27 -0.90726
14 49 0.3957
15 18 0.15792
15 23 0.33471
15 33 0.87201
16 29 -0.39087
16 36 0.56154
17 20 0.80426
19 24 0.13372
19 34 -1.54231
19 42 -1.3929
20 38 1.72415
20 45 -0.47114
21 24 1.17601
21 28 -0.41017
21 32 -1.22931
22 26 0.98411
22 43 1.13868
23 25 -1.30804
23 41 -1.33484
25 29 -0.61961
25 32 0.99945
28 37 0.02015
29 42 2.75626
30 47 -0.43479
31 46 -0.47244
32 48 0.04314
34 41 0.74897
35 39 0.6163
35 45 -0.09027
36 47 -2.51262
37 44 -0.72947
38 45 0.51261
38 49 -0.81777
39 44 0.45451
39 46 1.06985
40 42 0.69301
40 47 -1.32156
41 43 -0.26151
44 48 1.61258
