# model=rrg N=50 meanJ=0 seed=786630088 distribution=gaussian field=0 num_fields=50 num_couplings=75 graph=random_regular degree=3 graph_seed=786630088
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 24 -0.30915
0 35 -0.20774
0 49 0.68511
1 5 0.70401
1 15 0.09108
1 42 0.2118
2 11 -1.81035
2 31 1.85556
2 33 0.85481
3 14 0.3927
3 20 0.58545
3 26 -1.05969
4 12 0.76714
4 25 0.36994
4 46 0.31847
5 29 2.20786
5 49 2.44476
6 39 -0.7067
6 41 -0.39104
6 42 1.3439
7 9 -2.44947
7 21 -0.19668
7 30 0.30831
8 34 -0.41662
8 48 0.90325
8 49 -0.32141
9 22 0.46412
9 28 -0.01489
10 14 0.08924
10 23 0.08594
10 33 0.33658
11 31 -0.32745
11 43 1.89872
12 39 -0.40762
12 40 0.12243
13 24 -1.08531
13 36 1.52035
13 45 -0.44275
14 37 -0.81027
15 34 -0.04526
15 39 -1.77153
16 29 -0.02683
16 44 0.04958
16 48 -1.81606
17 27 0.17721
17 30 0.23201
17 45 0.10929
18 32 -1.26127
18 40 0.07347
18 42 -0.85182
19 24 -3.21763
19 40 0.48
19 48 0.13104
20 25 -1.12094
20 37 0.07881
21 31 1.46488
21 43 1.1643
22 32 1.08365
22 47 -1.95107
23 38 -1.28736
23 43 0.46423
25 32 1.31576
26 28 0.56598
26 35 0.57974
27 35 0.47725
27 46 -0.24954
28 45 2.44567
29 38 -0.32919
30 47 -0.07693
33 34 1.03197
36 37 0.15396
36 44 0.1524
38 46 1.35287
41 44 -0.09582
41 47 -1.53453
