# model=rrg N=50 meanJ=0 seed=306136059 distribution=gaussian field=0 num_fields=50 num_couplings=75 graph=random_regular degree=3 graph_seed=306136059
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 28 -2.13693
0 33 -0.23422
0 41 -0.37183
1 28 -0.7817
1 35 -1.22424
1 45 0.62388
2 21 -0.81692
2 31 0.63254
2 46 0.67386
3 7 -0.94176
3 27 -0.11821
3 37 1.05808
4 5 -0.70625
4 22 -0.14959
4 30 -0.25795
5 23 1.9236
5 40 0.86624
6 18 -0.44763
6 30 -0.92285
6 39 -0.104
7 25 -1.00139
7 44 1.64826
8 16 1.2026
8 23 0.02202
8 32 0.15477
9 15 -0.39282
9 32 0.59719
9 46 0.76787
10 38 1.78733
10 40 0.87124
10 42 1.38853
11 30 -0.19816
11 34 0.60583
11 49 0.44302
12 15 -0.02815
12 17 0.97552
12 45 0.92799
13 25 -0.95436
13 39 -1.03188
13 49 0.64349
14 21 0.16169
14 23 0.32783
14 25 -0.22944
15 48 -0.04673
16 17 0.91704
16 18 -0.41525
17 45 -0.52602
18 41 0.41867
19 31 0.02017
19 36 0.25612
19 42 -0.69501
20 29 0.6243
20 35 -0.31056
20 46 -0.03751
21 26 0.57345
22 26 -0.38438
22 44 0.33119
24 34 0.53278
24 41 0.4894
24 48 -0.58309
26 38 0.69684
27 28 0.59888
27 33 0.88154
29 47 0.29176
29 48 -0.71695
31 47 -1.72107
32 40 0.61809
33 39 -0.40448
34 43 1.64427
35 42 -0.79024
36 37 -1.14373
36 43 0.70129
37 47 1.03783
38 43 -1.825
44 49 0.47509
