# model=rrg N=50 meanJ=0 seed=2321716096 distribution=gaussian field=0 num_fields=50 num_couplings=75 graph=random_regular degree=3 graph_seed=2321716096
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 16 0.32233
0 20 0.32103
0 40 0.11958
1 7 0.16167
1 28 -0.40188
1 37 1.91923
2 7 -1.43335
2 9 0.9927
2 17 -1.01025
3 18 -0.73939
3 26 0.12457
3 43 -0.51797
4 23 -1.24381
4 32 0.45141
4 41 0.56293
5 10 0.02831
5 24 -0.66532
5 39 0.5292
6 15 -1.28997
6 27 1.16526
6 33 -0.55014
7 16 0.86173
8 26 -1.57512
8 39 -1.5392
8 43 1.98461
9 14 2.07922
9 49 -0.67324
10 40 0.22979
10 46 0.93254
11 16 -0.27667
11 23 -0.78643
11 45 -2.37019
12 21 0.62287
12 35 -0.16745
12 48 0.11688
13 14 0.03502
13 19 1.14183
13 45 0.41173
14 42 -0.47076
15 25 -0.64244
15 36 0.79203
17 45 -0.02911
17 47 -1.32144
18 19 -0.64797
18 28 -1.80595
19 49 0.0724
20 44 -1.59878
20 48 0.60365
21 26 -0.36525
21 31 -1.05499
22 29 -2.27416
22 37 0.84417
22 46 0.03132
23 38 1.66341
24 34 0.79663
24 41 1.73191
25 34 -1.92606
25 43 0.48172
27 35 -0.0179
27 36 -0.86316
28 33 1.09794
29 31 0.47601
29 34 -0.167
30 37 0.85244
30 40 2.61854
30 42 -1.51841
31 44 -0.41507
32 38 1.64963
32 48 -0.06913
33 39 0.97589
35 47 -1.16132
36 42 -1.20316
38 46 1.44219
41 44 0.09114
47 49 1.04736
