# model=sk N=50 meanJ=0 seed=290469722 distribution=gaussian field=0 num_fields=50 num_couplings=1225
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 1 0.30736
0 2 -0.122
0 3 -0.17208
0 4 0.2755
0 5 0.37785
0 6 0.13863
0 7 -0.10568
0 8 0.06324
0 9 -0.01323
0 10 -0.26808
0 11 0.0602
0 12 -0.12527
0 13 0.11396
0 14 -0.13001
0 15 0.15201
0 16 0.00935
0 17 0.05087
0 18 -0.17518
0 19 0.3645
0 20 0.11716
0 21 -0.16456
0 22 -0.08931
0 23 -0.15937
0 24 -0.155
0 25 0.16521
0 26 0.21203
0 27 0.00244
0 28 -0.02863
0 29 -0.02124
0 30 -0.13994
0 31 -0.0392
0 32 0.06136
0 33 0.01112
0 34 -0.00991
0 35 -0.23809
0 36 0.11414
0 37 0.03313
0 38 0.14507
0 39 -0.07189
0 40 0.03246
0 41 -0.21181
0 42 -0.08993
0 43 -0.3093
0 44 -0.04234
0 45 0.1783
0 46 -0.16809
0 47 -0.20528
0 48 -0.00566
0 49 0.11429
1 2 -0.17577
1 3 0.08025
1 4 0.08313
1 5 0.0121
1 6 0.15511
1 7 -0.12891
1 8 0.03822
1 9 0.17764
1 10 0.04103
1 11 -0.03603
1 12 0.05809
1 13 -0.30602
1 14 0.07637
1 15 0.04944
1 16 0.07744
1 17 0.06165
1 18 0.0674
1 19 -0.07966
1 20 0.26896
1 21 -0.17063
1 22 0.10862
1 23 -0.25155
1 24 -0.1042
1 25 0.18556
1 26 -0.08449
1 27 0.01725
1 28 0.32966
1 29 -0.0968
1 30 -0.06988
1 31 0.0218
1 32 0.14638
1 33 0.17182
1 34 -0.20686
1 35 0.08033
1 36 0.11182
1 37 -0.115
1 38 0.11097
1 39 0.38444
1 40 0.20659
1 41 -0.0348
1 42 -0.18056
1 43 -0.09295
1 44 0.02944
1 45 -0.1928
1 46 0.20556
1 47 0.06824
1 48 -0.23538
1 49 0.13484
2 3 -0.05959
2 4 -0.01134
2 5 0.08679
2 6 0.00132
2 7 0.10397
2 8 0.23528
2 9 -0.03544
2 10 0.14488
2 11 0.13258
2 12 -0.11203
2 13 -0.15307
2 14 0.01583
2 15 -0.0816
2 16 -0.01902
2 17 -0.14781
2 18 0.03023
2 19 -0.03499
2 20 0.02833
2 21 -0.03649
2 22 0.10236
2 23 0.11895
2 24 0.06977
2 25 0.01939
2 26 -0.1538
2 27 0.1302
2 28 0.09316
2 29 -0.08077
2 30 -0.01224
2 31 -0.02638
2 32 0.13536
2 33 -0.01365
2 34 -0.05056
2 35 0.01723
2 36 0.07115
2 37 -0.18717
2 38 0.03786
2 39 0.15395
2 40 0.24656
2 41 -0.07229
2 42 -0.0643
2 43 -0.21396
2 44 0.16388
2 45 -0.1274
2 46 -0.03549
2 47 0.11597
2 48 -0.0573
2 49 0.02334
3 4 -0.14148
3 5 -0.11088
3 6 0.16351
3 7 -0.03533
3 8 -0.02811
3 9 0.10145
3 10 -0.01261
3 11 -0.0165
3 12 -0.09408
3 13 -0.10941
3 14 0.04324
3 15 0.04011
3 16 0.06143
3 17 0.16603
3 18 0.09851
3 19 0.27432
3 20 -0.04348
3 21 -0.0739
3 22 0.01155
3 23 0.33812
3 24 0.01807
3 25 0.1801
3 26 0.00477
3 27 -0.02487
3 28 0.14833
3 29 0.1319
3 30 0.02152
3 31 0.038
3 32 0.13837
3 33 -0.09229
3 34 -0.14125
3 35 -0.17654
3 36 0.1833
3 37 0.05795
3 38 0.45497
3 39 -0.19865
3 40 -0.21732
3 41 0.34043
3 42 0.05484
3 43 0.1041
3 44 0.13287
3 45 0.05415
3 46 0.03553
3 47 -0.13114
3 48 -0.14602
3 49 0.05115
4 5 0.00876
4 6 -0.11875
4 7 0.18195
4 8 -0.12371
4 9 0.07213
4 10 0.10141
4 11 0.17221
4 12 0.13631
4 13 0.11922
4 14 -0.01495
4 15 0.0524
4 16 -0.06144
4 17 0.02011
4 18 -0.21967
4 19 -0.38463
4 20 -0.24637
4 21 -0.08867
4 22 0.02299
4 23 -0.03387
4 24 0.01306
4 25 0.30775
4 26 0.24849
4 27 0.05833
4 28 -0.13836
4 29 0.04718
4 30 -0.03826
4 31 -0.05535
