# model=sk N=50 meanJ=0 seed=1051741 distribution=gaussian field=0 num_fields=50 num_couplings=1225
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 1 0.18953
0 2 0.03543
0 3 -0.10397
0 4 0.21382
0 5 0.01209
0 6 0.11233
0 7 0.05111
0 8 -0.20618
0 9 -0.30277
0 10 -0.00021
0 11 -0.34183
0 12 -0.15229
0 13 0.0882
0 14 0.01634
0 15 -0.19012
0 16 0.18564
0 17 -0.00144
0 18 0.03657
0 19 -0.42255
0 20 0.12775
0 21 0.10505
0 22 -0.00857
0 23 -0.22078
0 24 0.29243
0 25 -0.01288
0 26 0.05005
0 27 -0.20068
0 28 0.16291
0 29 -0.01593
0 30 -0.13442
0 31 -0.29874
0 32 0.06927
0 33 -0.04324
0 34 -0.19165
0 35 -0.03887
0 36 0.11468
0 37 0.09562
0 38 0.06625
0 39 -0.22859
0 40 0.18442
0 41 0.26696
0 42 -0.21532
0 43 -0.0341
0 44 -0.08729
0 45 0.00454
0 46 -0.16833
0 47 0.05805
0 48 -0.23713
0 49 -0.05488
1 2 -0.02222
1 3 -0.26882
1 4 0.23137
1 5 0.05612
1 6 -0.10148
1 7 -0.15326
1 8 -0.16677
1 9 0.08248
1 10 0.19372
1 11 -0.12849
1 12 -0.04955
1 13 -0.20281
1 14 -0.07784
1 15 0.19846
1 16 -0.10658
1 17 -0.13343
1 18 0.16712
1 19 0.01227
1 20 0.16649
1 21 0.23885
1 22 0.0616
1 23 -0.13723
1 24 0.05001
1 25 0.06862
1 26 0.17157
1 27 -0.12522
1 28 -0.09046
1 29 -0.04614
1 30 -0.14822
1 31 0.04627
1 32 -0.16536
1 33 0.06327
1 34 -0.04239
1 35 0.18131
1 36 -0.11421
1 37 -0.07641
1 38 0.04616
1 39 0.22114
1 40 0.21296
1 41 0.23981
1 42 0.07548
1 43 0.11747
1 44 0.0388
1 45 -0.13916
1 46 0.03184
1 47 -0.08479
1 48 0.13543
1 49 -0.01917
2 3 0.12399
2 4 0.10855
2 5 0.20018
2 6 -0.22253
2 7 -0.15311
2 8 0.12473
2 9 0.33669
2 10 -0.26464
2 11 -0.24217
2 12 -0.0172
2 13 -0.30761
2 14 -0.08118
2 15 0.08007
2 16 -0.11821
